Comparing: e1-dos, e1, W, D, e2

File                                              e1-dos              e1               W               D              e2
ACTIONS/000191.FAN                                    23               -               -               -               -
ACTIONS/000192.FAN                                    23               -               -               -               -
ACTIONS/000193.FAN                                    23               -               -               -               -
ACTIONS/000194.FAN                                    23               -               -               -               -
ACTIONS/000195.FAN                                    23               -               -               -               -
ACTIONS/000196.FAN                                    23               -               -               -               -
ACTIONS/000197.FAN                                    23               -               -               -               -
ACTIONS/000198.FAN                                    23               -               -               -               -
ACTIONS/000199.FAN                                    23               -               -               -               -
ACTIONS/000200.FAN                                    23               -               -               -               -
ACTIONS/000201.FAN                                    23               -               -               -               -
ACTIONS/000202.FAN                                    24               -               -               -               -
ACTIONS/000203.FAN                                    24               -               -               -               -
ACTIONS/000204.FAN                                    24               -               -               -               -
ACTIONS/000205.FAN                                    24               -               -               -               -
ACTIONS/000206.FAN                                    23               -               -               -               -
ACTIONS/000207.FAN                                    23               -               -               -               -
ACTIONS/000208.FAN                                    23               -               -               -               -
ACTIONS/000209.FAN                                    23               -               -               -               -
ACTIONS/000210.FAN                                    23               -               -               -               -
ACTIONS/000211.FAN                                    23               -               -               -               -
ACTIONS/000212.FAN                                    23               -               -               -               -
ACTIONS/000213.FAN                                    23               -               -               -               -
ACTIONS/000214.FAN                                    23               -               -               -               -
ACTIONS/000215.FAN                                    23               -               -               -               -
ACTIONS/000216.FAN                                    23               -               -               -               -
ACTIONS/000217.FAN                                    23               -               -               -               -
ACTIONS/000218.FAN                                    23               -               -               -               -
ACTIONS/000219.FAN                                    23               -               -               -               -
ACTIONS/000220.FAN                                    23               -               -               -               -
ACTIONS/000221.FAN                                    23               -               -               -               -
ACTIONS/000222.FAN                                    23               -               -               -               -
ACTIONS/000223.FAN                                    23               -               -               -               -
ACTIONS/000224.FAN                                    23               -               -               -               -
ACTIONS/000225.FAN                                    23               -               -               -               -
ACTIONS/000226.FAN                                    23               -               -               -               -
ACTIONS/000227.FAN                                    25               -               -               -               -
ACTIONS/000228.FAN                                    25               -               -               -               -
ACTIONS/000229.FAN                                    23               -               -               -               -
ACTIONS/000230.FAN                                    23               -               -               -               -
ACTIONS/000231.FAN                                    23               -               -               -               -
ACTIONS/000232.FAN                                    23               -               -               -               -
ACTIONS/000233.FAN                                    23               -               -               -               -
ACTIONS/000234.FAN                                    23               -               -               -               -
ACTIONS/000235.FAN                                    23               -               -               -               -
ACTIONS/000236.FAN                                    23               -               -               -               -
ACTIONS/000237.FAN                                    23               -               -               -               -
ACTIONS/000238.FAN                                    23               -               -               -               -
ACTIONS/000239.FAN                                    23               -               -               -               -
ACTIONS/000240.FAN                                    23               -               -               -               -
ACTIONS/000241.FAN                                    23               -               -               -               -
ACTIONS/000242.FAN                                    23               -               -               -               -
ACTIONS/000243.FAN                                    23               -               -               -               -
ACTIONS/000244.FAN                                    23               -               -               -               -
ACTIONS/000245.FAN                                    23               -               -               -               -
ACTIONS/000246.FAN                                    23               -               -               -               -
ACTIONS/000247.FAN                                    23               -               -               -               -
ACTIONS/000248.FAN                                    23               -               -               -               -
ACTIONS/000249.FAN                                    23               -               -               -               -
ACTIONS/000250.FAN                                    23               -               -               -               -
