Scanning 2774 .FAN files in data/e1-dos/

File                                                Ver  NNS Internal Name                 
SCENES/EDGE9.FAN                                     21    - -                             
SCENES/EERY.FAN                                      25    - eery                          
SCENES/EFX.FAN                                       15    - -                             
SCENES/END1.FAN                                      27    0 End1                          
SCENES/END1F.FAN                                     27    0 End1f                         
SCENES/END2.FAN                                      27    0 End2                          
SCENES/END2F.FAN                                     27    0 End2f                         
SCENES/ENDSCEN1.FAN                                  27    0 EndScen1                      
SCENES/ENDSCEN2.FAN                                  27    0 EndScen2                      
SCENES/ENDSCN1F.FAN                                  27    0 EndScn1F                      
SCENES/ENDSCN2F.FAN                                  27    0 EndScn2F                      
SCENES/EUNU.FAN                                      25    - eunu                          
SCENES/EUNUQUE.FAN                                   25    - eunuque                       
SCENES/FALL1.FAN                                     24    - fall1                         
SCENES/FALL2.FAN                                     23    - fall2                         
SCENES/FALL3.FAN                                     24    - fall3                         
SCENES/FALL4.FAN                                     24    - fall4                         
SCENES/FALL5.FAN                                      8    - -                             
SCENES/FALL6.FAN                                     24    - fall6                         
SCENES/FALL_MO2.FAN                                  24    - fall_mo2                      
SCENES/FALL_MON.FAN                                  24    - fall_mon                      
SCENES/FEDUP.FAN                                     27    0 fedup                         
SCENES/FIN.FAN                                       27    0 fin                           
SCENES/FINF.FAN                                      27    0 finf                          
SCENES/FLAGFROG.FAN                                  14    - -                             
SCENES/FLOWER.FAN                                    24    - flower                        
SCENES/FOOL1.FAN                                     19    - -                             
SCENES/FOOL2.FAN                                      8    - -                             
SCENES/FOOL3.FAN                                     24    - fool3                         
SCENES/FOOL4.FAN                                     15    - -                             
SCENES/FORGE1.FAN                                    24    - forge1                        
SCENES/FORGE2.FAN                                    15    - -                             
SCENES/FORGE3.FAN                                    15    - -                             
SCENES/FRIEND.FAN                                    23    - friend                        
SCENES/FRIEND1.FAN                                   24    - friend1                       
SCENES/FRIEND2.FAN                                   24    - friend2                       
SCENES/FRIEND3.FAN                                   24    - friend3                       
SCENES/FRIEND_D.FAN                                  27    0 friend_d                      
SCENES/FRIEND_O.FAN                                  25    - friend_o                      
SCENES/F_FLAME.FAN                                   24    - f_flame                       
SCENES/F_FLAME2.FAN                                  24    - f_flame2                      
SCENES/F_FLO_L.FAN                                   25    - f_flo_l                       
SCENES/F_FLO_R.FAN                                   25    - f_flo_r                       
SCENES/F_FRIEND.FAN                                  20    - -                             
SCENES/F_HB_OUT.FAN                                  25    - f_hb_out                      
SCENES/F_HRB_1L.FAN                                  24    - f_hrb_1l                      
SCENES/F_HRB_1R.FAN                                  24    - f_hrb_1r                      
SCENES/F_HRB_2L.FAN                                  24    - f_hrb_2l                      
SCENES/F_HRB_2R.FAN                                  24    - f_hrb_2r                      
SCENES/F_HRB_3L.FAN                                  24    - f_hrb_3l                      
SCENES/F_HRB_3R.FAN                                  24    - f_hrb_3r                      
SCENES/F_HRB_I2.FAN                                  10    - -                             
SCENES/F_HRB_I3.FAN                                  10    - -                             
SCENES/F_HRB_IN.FAN                                  20    - -                             
SCENES/F_MAN_L.FAN                                   24    - f_man_l                       
SCENES/F_MAN_R.FAN                                   24    - f_man_r                       
SCENES/F_OBJECT.FAN                                  26    0 f_object                      
SCENES/F_TEDD.FAN                                    27    0 f_tedd                        
SCENES/F_TEDDY.FAN                                   27    0 f_teddy                       
SCENES/F_WIN.FAN                                     22    - -                             
SCENES/F_WITCH.FAN                                    8    - -                             
SCENES/GRILLE.FAN                                    27    0 grille                        
